Action,Column,Model_ID,Model_Revion_ID,Models value,Model Revisions value,Proposed write
BACKFILL,Core Type,M-MAGA-0006,MR-MAGA-0006-V1,None,,None
BACKFILL,Core Type,M-MAGA-0013,MR-MAGA-0013-V1,Amorphe,,Amorphe
BACKFILL,Core Type,M-MULT-0001,MR-MULT-0001-V1,None,,None
BACKFILL,Core Type,M-NAEL-0001,MR-NAEL-0001-V1,None,,None
BACKFILL,Core Type,M-NAEL-0002,MR-NAEL-0002-V1,None,,None
BACKFILL,Core Type,M-NAEL-0003,M-NAEL-0003,None,,None
BACKFILL,Core Type,M-NAEL-0004,MR-NAEL-0004-V1,None,,None
BACKFILL,Core Type,M-NAEL-0005,MR-NAEL-0005-V1,None,,None
BACKFILL,Core Type,M-NAEL-0006,MR-NAEL-0006-V1,None,,None
BACKFILL,Core Type,M-NAEL-0007,MR-NAEL-0007-V1,None,,None
BACKFILL,Core Type,M-NAEL-0008,MR-NAEL-0008-V1,None,,None
BACKFILL,Core Type,M-OTHY-0006,MR-OTHY-0006-V1,None,,None
BACKFILL,Core Type,M-OTHY-0008,MR-OTHY-0008-V1,None,,None
BACKFILL,Core Type,M-PITR-0001,MR-PITR-0001-V1,None,,None
BACKFILL,Core Type,M-PITR-0004,MR-PITR-0004-V1,None,,None
BACKFILL,Core Type,M-POMT-0001,MR-POMT-0001-V1,None,,None
BACKFILL,Core Type,M-POWE-0001,MR-POWE-0001-V1,None,,None
BACKFILL,Core Type,M-PSEG-0001,MR-PSEG-0001-V1,None,,None
BACKFILL,Core Type,M-PSEG-0002,MR-PSEG-0002-V1,None,,None
BACKFILL,Core Type,M-PSEG-0004,MR-PSEG-0004-V1,None,,None
BACKFILL,Core Type,M-PSEG-0005,MR-PSEG-0005-V1,None,,None
BACKFILL,Core Type,M-PSEG-0006,MR-PSEG-0006-V1,None,,None
BACKFILL,Core Type,M-PSEG-0007,MR-PSEG-0007-V1,None,,None
BACKFILL,Core Type,M-PSEG-0008,MR-PSEG-0008-V1,None,,None
BACKFILL,Core Type,M-PSEG-0009,MR-PSEG-0009-V1,None,,None
BACKFILL,Core Type,M-PSEG-0010,MR-PSEG-0010-V1,None,,None
BACKFILL,Core Type,M-PSEG-0011,MR-PSEG-0011-V1,None,,None
BACKFILL,Core Type,M-PSEG-0012,MR-PSEG-0012-V1,None,,None
BACKFILL,Core Type,M-PSEG-0013,MR-PSEG-0013-V1,None,,None
BACKFILL,Core Type,M-PSEG-0014,MR-PSEG-0014-V1,None,,None
BACKFILL,Core Type,M-PSEG-0015,MR-PSEG-0015-V1,None,,None
BACKFILL,Core Type,M-PSEG-0016,MR-PSEG-0016-V1,None,,None
BACKFILL,Core Type,M-PSEG-0017,MR-PSEG-0017-V1,None,,None
BACKFILL,Core Type,M-PSEG-0018,MR-PSEG-0018-V1,None,,None
BACKFILL,Core Type,M-PSEG-0019,MR-PSEG-0019-V1,None,,None
BACKFILL,Core Type,M-PSEG-0020,MR-PSEG-0020-V1,None,,None
BACKFILL,Core Type,M-PSEG-0021,MR-PSEG-0021-V1,None,,None
BACKFILL,Core Type,M-PSEG-0022,MR-PSEG-0022-V1,None,,None
BACKFILL,Core Type,M-PSEG-0023,MR-PSEG-0023-V1,None,,None
BACKFILL,Core Type,M-PSEG-0024,MR-PSEG-0024-V1,None,,None
BACKFILL,Core Type,M-PSEG-0025,MR-PSEG-0025-V1,None,,None
BACKFILL,Core Type,M-REDE-0001,MR-REDE-0001-V1,None,,None
BACKFILL,Core Type,M-RIED-0001,MR-RIED-0001-V1,None,,None
BACKFILL,Core Type,M-TOHY-0003,MR-TOHY-0003-V1,None,,None
BACKFILL,Core Type,M-TOHY-0004,MR-TOHY-0004-V1,None,,None
BACKFILL,Core Type,M-TOHY-0007,MR-TOHY-0007-V1,None,,None
BACKFILL,Core Type,M-TOHY-0008,MR-TOHY-0008-V1,None,,None
BACKFILL,Core Type,M-TOHY-0009,MR-TOHY-0009-V1,None,,None
BACKFILL,Core Type,M-TOHY-0010,MR-TOHY-0010-V1,None,,None
