Order,Engineering Required,LDs,Engineering Required state,LDs state
22004-1/2,N,,N,blank
21830-4/5,N,Y,N,Y
22004-2/2,N,,N,blank
21955-1/2,Y,,Y,blank
22009-1/2,N,,N,blank
21992-1/6,N,,N,blank
22009-2/2,N,,N,blank
21995-1/2,Y,,Y,blank
22018-1/1,N,,N,blank
21795-5/5,N,Y,N,Y
22019-1/1,Y,,Y,blank
21832-2/11,N,Y,N,Y
22080-1/3,,,blank,blank
22080-2/3,,,blank,blank
21955-2/2,Y,,Y,blank
22010-1/2,N,,N,blank
21992-2/6,N,,N,blank
22080-3/3,,,blank,blank
21995-2/2,Y,,Y,blank
21830-5/5,N,Y,N,Y
22010-2/2,N,,N,blank
21832-3/11,N,Y,N,Y
22066-1/2,,,blank,blank
22066-2/2,,,blank,blank
21992-3/6,N,,N,blank
22079-1/1,,,blank,blank
21994-1/3,Y,,Y,blank
22131-1/1,,,blank,blank
21994-2/3,Y,,Y,blank
22132-1/1,,,blank,blank
22105-1/1,,,blank,blank
22113-1/1,,,blank,blank
21832-4/11,N,Y,N,Y
22134-1/2,,,blank,blank
21841-1/10,Y,Y,Y,Y
22114-1/3,,,blank,blank
21992-4/6,N,,N,blank
21994-3/3,Y,,Y,blank
22134-2/2,,,blank,blank
22114-2/3,,,blank,blank
21832-5/11,N,Y,N,Y
22085-1/2,,,blank,blank
21841-2/10,Y,Y,Y,Y
21841-3/10,Y,Y,Y,Y
22114-3/3,,,blank,blank
21992-5/6,N,,N,blank
22085-2/2,,,blank,blank
21997-1/4,Y,,Y,blank
22115-1/1,,,blank,blank
21387-4/6,Y,N,Y,N
21833-1/6,N,Y,N,Y
22116-1/1,,,blank,blank
21841-4/10,Y,Y,Y,Y
21841-5/10,Y,Y,Y,Y
22135-1/2,,,blank,blank
21957-1/9,N,,N,blank
22135-2/2,,,blank,blank
21992-6/6,N,,N,blank
21997-2/4,Y,,Y,blank
22011-1/2,Y,,Y,blank
21833-2/6,N,Y,N,Y
21841-6/10,Y,Y,Y,Y
22011-2/2,Y,,Y,blank
21841-7/10,Y,Y,Y,Y
22012-1/2,N,,N,blank
21957-2/9,N,,N,blank
21998-1/3,Y,,Y,blank
22012-2/2,N,,N,blank
21387-5/6,Y,N,Y,N
21832-6/11,N,Y,N,Y
22013-1/2,N,,N,blank
21841-8/10,Y,Y,Y,Y
22013-2/2,N,,N,blank
21841-9/10,Y,Y,Y,Y
22015-1/2,Y,,Y,blank
21957-3/9,N,,N,blank
21997-3/4,Y,,Y,blank
22015-2/2,Y,,Y,blank
21832-7/11,N,Y,N,Y
21841-10/10,Y,Y,Y,Y
22016-1/2,N,,N,blank
21957-4/9,N,,N,blank
21997-4/4,Y,,Y,blank
22016-2/2,N,,N,blank
21998-2/3,Y,,Y,blank
P20004-1/2,,,blank,blank
20877R1-1/1,,,blank,blank
21814-2/11,Y,Y,Y,Y
E21003R1-1/1,,,blank,blank
21833-3/6,N,Y,N,Y
E21004-1/2,,,blank,blank
21957-5/9,N,,N,blank
21957-6/9,N,,N,blank
E21004-2/2,,,blank,blank
21996-1/10,Y,,Y,blank
E21007-1/1,,,blank,blank
21998-3/3,Y,,Y,blank
P20004-2/2,,,blank,blank
21832-8/11,N,Y,N,Y
21957-7/9,N,,N,blank
E21009-1/1,,,blank,blank
21996-2/10,Y,,Y,blank
21996-3/10,Y,,Y,blank
E21011-1/1,,,blank,blank
21996-4/10,Y,,Y,blank
21814-3/11,Y,Y,Y,Y
E21015-1/1,,,blank,blank
21886-1/2,Y,Y,Y,Y
E21016-1/1,,,blank,blank
21833-4/6,N,Y,N,Y
WRG3026-1/4,,,blank,blank
21957-8/9,N,,N,blank
21996-5/10,Y,,Y,blank
WRG3026-2/4,,,blank,blank
21996-6/10,Y,,Y,blank
WRG3026-3/4,,,blank,blank
21886-2/2,Y,Y,Y,Y
WRG3026-4/4,,,blank,blank
21996-7/10,Y,,Y,blank
21832-9/11,N,Y,N,Y
WRG3027-1/2,,,blank,blank
21957-9/9,N,,N,blank
WRG3027-2/2,,,blank,blank
21980-1/1,Y,,Y,blank
21996-10/10,Y,,Y,blank
21996-8/10,Y,,Y,blank
21996-9/10,Y,,Y,blank
21833-5/6,N,Y,N,Y
22056-1/6,Y,,Y,blank
22068-1/4,,,blank,blank
22068-2/4,,,blank,blank
22068-3/4,,,blank,blank
21832-10/11,N,Y,N,Y
21843-1/1,N,Y,N,Y
22056-2/6,Y,,Y,blank
22056-3/6,Y,,Y,blank
22068-4/4,,,blank,blank
22069-1/10,,,blank,blank
21387-6/6,Y,N,Y,N
21873-1/8,N,,N,blank
21873-2/8,N,,N,blank
21873-3/8,N,,N,blank
21913-1/7,Y,,Y,blank
